Domain,Competency,Teleoperation SW (VR),Teleoperation UX / Mappings,RL Eng Locomanipulation,Robotics Sim & Control Eng,Senior RL Engineer (VLA),Simulation Engineer (Manip),Manipulation Capability Engineer / Robotics Learning Engineer,Staff Control Engineer,VLA Engineer
,,0 = not important · 1 = aware · 2 = Practitioner · 3 = expert · ★ = must have,,,,,,,,
D1 · RL Core,Policy optimization (PPO / SAC / actor-critic),0,0,3★,2,3★,2,2,1,1
D1 · RL Core,Reward function design & reward hacking,0,0,3★,2,2,3★,2★,1,1
D1 · RL Core,Curriculum & observation space design,0,0,3★,2,2,2★,1,0,1
D1 · RL Core,Imitation learning / BC / offline RL,0,0,2,1,3★,1,3★,1,2
D1 · RL Core,Distributed training (DDP / FSDP / DeepSpeed),0,0,2,1,3★,2,1,0,3★
D2 · Simulation,Isaac Lab / Isaac Sim,0,0,3★,2★,1,3★,1,1,0
D2 · Simulation,MuJoCo / PyBullet / Drake,0,0,2,2★,1,3★,1,1,0
D2 · Simulation,URDF / robot description formats,0,0,1,3★,0,1,0,1,0
D2 · Simulation,GPU-parallel simulation & throughput,0,0,2,2,2,3★,1,0,3★
D2 · Simulation,Domain randomization & sim-to-real,0,0,3★,2,2,3★,2★,1,1
D2 · Simulation,Physics setup (contact / friction / mass / joints),0,0,2,3★,1,3★,1,1,0
D3 · Locomotion,Legged / humanoid locomotion,0,0,3★,2,1,1,0,2,0
D3 · Locomotion,Dynamic balance & recovery,0,0,3★,2,1,0,0,2,0
D3 · Locomotion,Robot kinematics & dynamics,0,1,2,3★,1,1,1,3★,0
D3 · Locomotion,Whole-body control,0,0,2,2,1,0,0,2,0
D4 · Manipulation,Dexterous grasping & contact-rich manipulation,0,0,2,1,1,3★,3★,1,1
D4 · Manipulation,In-hand manipulation,0,0,1,1,1,2,2,0,1
D4 · Manipulation,Deformable / complex object handling,0,0,1,0,0,2,2,0,0
D5 · Locomanipulation,Combined locomanipulation policy,0,0,3★,2,1,2,1,2,0
D5 · Locomanipulation,Multi-behavior policy learning,0,0,2,1,2,1,2,1,2
D6 · Perception & VLA,Vision-Language-Action models (VLA),0,0,1,0,3★,0,2,0,3★
D6 · Perception & VLA,Multimodal transformer architecture,0,0,0,0,3★,0,1,0,3★
D6 · Perception & VLA,LLM / VLM pre-training at scale,0,0,0,0,2,0,1,0,3★
D6 · Perception & VLA,Model architecture design (action heads / fusion),0,0,0,0,3★,0,1,0,3★
D6 · Perception & VLA,Training infra (streaming datasets / checkpointing),0,0,0,0,2,0,1,0,3★
D6 · Perception & VLA,Eval design & benchmark portfolio,0,0,1,0,2,0,2,0,3★
D6 · Perception & VLA,Stereo vision / 3D reconstruction,2,1,0,0,1,0,0,0,0
D7 · Control Systems,MPC / optimal control,0,0,1,2,0,0,0,3★,0
D7 · Control Systems,Impedance / force / Cartesian control,1,1,1,2,0,1,1,3★,0
D7 · Control Systems,Real-time control architecture,3★,2,2,2,1,1,0,3★,0
D7 · Control Systems,Safety-critical systems & fail-safes,1,2,1,1,0,0,0,3★,0
D8 · Software & HW,ROS2 / middleware,2,1,2,2,1,1,1,2,0
D8 · Software & HW,C++ (modern standards),3★,1,2,3★,2,2,1,3★,1
D8 · Software & HW,Python + PyTorch / JAX,1,0,2,1,3★,2,2,1,3★
D8 · Software & HW,Real-time Linux / RTOS / embedded,3★,1,1,1,0,0,0,3★,0
D8 · Software & HW,CI/CD / testing / production SW,2,1,1,1,1,2,1,3★,2★
D9 · Teleoperation,VR development (Unity / HMD / motion capture),3★,1,0,0,0,0,0,0,0
D9 · Teleoperation,Low-latency video streaming (WebRTC),3★,1,0,0,0,0,0,0,0
D9 · Teleoperation,Control mappings & operator interface,2,3★,0,0,0,0,0,0,0
D9 · Teleoperation,Human-robot interaction & operator UX,1,3★,0,0,0,0,0,0,0
D9 · Teleoperation,Cognitive load & usability research (HCI),0,3★,0,0,0,0,0,0,0
D9 · Teleoperation,Sensor fusion & motion mapping,2★,2★,0,0,0,0,0,0,0
D9 · Teleoperation,Data collection & annotation pipelines,2★,2,1,1,1,1,3★,0,0
D10 · Research & Collab,Publications (CoRL / RSS / ICRA),0,0,2,1,2,2,1,0,2
D10 · Research & Collab,Experiment design & ablations,0,2,2,2,2,2★,2★,1,3★
D10 · Research & Collab,HW↔SW cross-team collaboration,2,2,2,3★,1,2,2,3★,1
D10 · Research & Collab,Technical leadership & mentorship,0,0,0,0,0,0,0,3★,0
D10 · Research & Collab,Iterative user testing & prototyping,1,3★,0,0,0,0,1,0,0
